"species_code","subcategory"
"66050","None"
"66055","None"
"66060","None"
"66120","None"
"66130","None"
"66140","None"
"66150","None"
"66160","None"
"66161","None"
"66163","None"
"66165","None"
"66170","None"
"66171","None"
"66174","None"
"66175","None"
"66179","None"
"66180","None"
"66190","None"
"66192","None"
"66193","None"
"66200","None"
"66201","None"
"66203","None"
"66204","None"
"66301","None"
"66500","None"
"66502","None"
"66510","None"
"66512","None"
"66515","None"
"66520","None"
"66530","None"
"66536","None"
"66546","None"
"66548","None"
"66570","None"
"66575","None"
"66580","None"
"66600","None"
"66601","None"
"66602","None"
"66603","None"
"66605","None"
"66611","None"
"66612","None"
"66613","None"
"66614","None"
"66615","None"
"66617","None"
"66750","None"
"66770","None"
"66772","None"
"66814","None"
"66815","None"
"66839","None"
"66840","None"
"66860","None"
"66865","None"
"66875","None"
"68000","None"
"68010","None"
"68011","None"
"68020","None"
"68040","None"
"68050","None"
"68060","None"
"68065","None"
"68072","None"
"68100","None"
"68500","None"
"68502","None"
"68510","None"
"68515","None"
"68520","None"
"68541","None"
"68550","None"
"68560","None"
"68570","None"
"68577","None"
"68578","None"
"68580","None"
"68590","None"
"68781","None"
"69000","None"
"69010","None"
"69011","None"
"69013","None"
"69035","None"
"69042","None"
"69060","None"
"69061","None"
"69070","None"
"69080","None"
"69082","None"
"69085","None"
"69086","None"
"69090","None"
"69095","None"
"69100","None"
"69110","None"
"69120","None"
"69121","None"
"69122","None"
"69123","None"
"69200","None"
"69250","None"
"69260","None"
"69270","None"
"69280","None"
"69285","None"
"69290","None"
"69300","None"
"69310","None"
"69312","None"
"69314","None"
"69315","None"
"69316","None"
"69317","None"
"69318","None"
"69321","None"
"69322","None"
"69323","None"
"69324","None"
"69325","None"
"69326","None"
"69328","None"
"69329","None"
"69330","None"
"69331","None"
"69335","None"
"69336","None"
"69341","None"
"69400","None"
"69520","None"
"69530","None"
"69531","None"
"69540","None"
"69550","None"
"69552","None"
"69554","None"
"69556","None"
"69557","None"
"69560","None"
"69642","None"
"69650","None"
"69651","None"
"69652","None"
"69653","None"
"69655","None"
"69900","None"
"69910","None"
"69911","None"
"70000","None"
"70050","None"
"70060","None"
"70100","None"
"70108","None"
"70110","None"
"70111","None"
"70112","None"
"70113","None"
"70115","None"
"70119","None"
"70121","None"
"70122","None"
"70124","None"
"70125","None"
"70126","None"
"70127","None"
"70150","None"
"71001","None"
"71002","None"
"71003","None"
"71004","None"
"71005","None"
"71007","None"
"71010","None"
"71011","None"
"71012","None"
"71013","None"
"71014","None"
"71015","None"
"71016","None"
"71018","None"
"71020","None"
"71021","None"
"71022","None"
"71025","None"
"71027","None"
"71030","None"
"71050","None"
"71055","None"
"71080","None"
"71152","None"
"71202","None"
"71230","None"
"71250","None"
"71260","None"
"71291","None"
"71349","None"
"71350","None"
"71351","None"
"71400","None"
"71405","None"
"71500","None"
"71501","None"
"71504","None"
"71510","None"
"71511","None"
"71515","None"
"71516","None"
"71517","None"
"71525","None"
"71526","None"
"71530","None"
"71535","None"
"71537","None"
"71540","None"
"71541","None"
"71542","None"
"71570","None"
"71575","None"
"71580","None"
"71584","None"
"71585","None"
"71586","None"
"71590","None"
"71631","None"
"71634","None"
"71635","None"
"71640","None"
"71681","None"
"71700","None"
"71710","None"
"71714","None"
"71715","None"
"71716","None"
"71718","None"
"71719","None"
"71720","None"
"71721","None"
"71722","None"
"71723","None"
"71724","None"
"71725","None"
"71726","None"
"71727","None"
"71728","None"
"71730","None"
"71731","None"
"71732","None"
"71733","None"
"71734","None"
"71739","None"
"71740","None"
"71741","None"
"71748","None"
"71749","None"
"71750","None"
"71751","None"
"71753","None"
"71755","None"
"71756","None"
"71757","None"
"71759","None"
"71760","None"
"71761","None"
"71762","None"
"71763","None"
"71764","None"
"71765","None"
"71766","None"
"71769","None"
"71770","None"
"71771","None"
"71772","None"
"71773","None"
"71774","None"
"71775","None"
"71776","None"
"71777","None"
"71778","None"
"71779","None"
"71790","None"
"71795","None"
"71800","None"
"71801","None"
"71802","None"
"71810","None"
"71811","None"
"71820","None"
"71822","None"
"71835","None"
"71840","None"
"71850","None"
"71860","None"
"71865","None"
"71866","None"
"71870","None"
